article_id,article_url,id_code,author,depth,age_hours,links,link_count,state,page_truncates
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1bh,francistrdev,1,490.61,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1c6,paceaux,2,490.25,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e0p2,best_vibe_f9bcb0e9c1a9970,0,496.08,multiple,10,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e0pa,online_toys_94144ebd2e2f6,0,496.04,multiple,10,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e0pj,daraz_toy_c258cb5ff5fb5e6,0,495.99,multiple,10,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e103,daraz_private_439b56f3e56,0,495.91,multiple,10,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e10f,well_center_cec48e177797b,0,495.87,multiple,10,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e119,dj29,0,495.49,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1b7,francistrdev,1,490.83,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1fe,dj29,2,487.12,internal,1,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e2jo,francistrdev,3,471.51,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e2k3,dj29,4,471.46,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e14j,benjamin_nguyen_8ca6ff360,0,494.23,none,0,MISSING,True
